SchoolName,Type,NumberBoys,NumberGirls,OfstedGrade
Woodcroft Primary School,Primary,230,250,2
Chestnuts Primary School,Primary,205,200,3
North Harringay Primary School,Primary,240,220,2
Mossbourne Community Academy,Secondary,675,620,1
Stanwell Fields CofE Primary School,Primary,215,230,3
Bishop Ridley Church of England VA Primary School,Primary,215,245,2
Stockley Academy,Secondary,520,460,4
London Academy,All Through,850,570,2
Lambeth Academy,Secondary,535,465,2
Rye Oak Primary School,Primary,255,265,3
St John's CofE School Stanmore,Primary,220,195,2
The Harefield Academy,Secondary,555,325,3
Leatherhead Trinity School and Children's Centre,Primary,215,205,2
Haberdashers' Aske's Knights Academy,All Through,795,615,3
Haberdashers' Aske's Hatcham College,All Through,930,895,1
Akiva School,Primary,225,195,2
Hextable Primary School,Primary,200,205,2
Selwyn Primary School,Primary,325,310,2
Gilbert Scott Primary School,Primary,130,105,3
Oakfield Community Primary School,Primary,335,335,2
Our Lady and St George's Catholic Primary School,Primary,235,215,3
Cedars Manor School,Primary,320,295,2
Martin Primary School,Primary,320,295,1
Buckland Primary School,Primary,215,180,2
Ark King Solomon Academy,All Through,450,375,1
Harris Academy South Norwood,Secondary,805,770,1
The Rosary Catholic Primary School,Primary,255,210,2
St Matthew Academy,All Through,635,600,2
Dartford Bridge Community Primary School,Primary,160,160,2
The Leigh Academy,Secondary,795,615,2
Harris City Academy Crystal Palace,Secondary,660,545,1
Ark Walworth Academy,Secondary,635,335,2
Ashcroft Technology Academy,Secondary,765,525,1
Meadow Primary School,Primary,320,275,2
Ark Evelyn Grace Academy,Secondary,495,405,2
Bacon's College,Secondary,550,505,2
Khalsa VA Primary School,Primary,235,180,2
Wren Academy,All Through,555,515,1
Woodcote Primary School,Primary,330,335,1
Chelsea Academy,Secondary,615,460,1
Brimsdown Primary School,Primary,335,325,3
Orchard Primary School,Primary,365,335,2
Ark Globe Academy,All Through,715,550,2
City of London Academy Islington,Secondary,395,260,2
Branfil Primary School,Primary,265,230,2
Ark Academy,All Through,690,660,1
Iqra Primary School,Primary,105,115,2
The Langley Academy,Secondary,590,520,2
Oasis Academy Coulsdon,Secondary,360,305,2
Pimlico Academy,Secondary,640,575,1
Harris Academy Falconwood,Secondary,560,500,1
JCoSS,Secondary,510,455,2
Saint John Bosco College,Secondary,275,145,2
Crowlands Primary School,Primary,330,345,2
Harris Boys' Academy East Dulwich,Secondary,755,0,1
Bedfont Primary School,Primary,310,290,2
"The City Academy, Hackney",Secondary,575,405,1
Prendergast Vale School,All Through,410,330,3
Chatsworth Primary School,Primary,355,335,2
The Bushey Academy,Secondary,495,430,2
Haberdashers' Aske's Crayford Academy,All Through,760,665,2
Harris Academy Purley,Secondary,565,460,1
Oasis Academy Hadley,All Through,750,720,2
Ormiston Park Academy,Secondary,275,235,3
Oasis Academy Shirley Park,All Through,850,755,1
The Crest Academies,Secondary,520,780,4
Fleetdown Primary School,Primary,270,255,1
Churchfield CofE VA Primary,Primary,165,155,3
Dagenham Park CofE School,Secondary,610,650,3
Drapers' Academy,Secondary,370,425,2
Hampton Academy,Secondary,430,400,3
Twickenham Academy,Secondary,410,330,3
Skinners' Academy,Secondary,495,385,2
Aylward Academy,Secondary,745,650,2
Nightingale Academy,Secondary,350,320,3
Hammersmith Academy,Secondary,415,280,2
Staples Road Primary School,Primary,280,260,2
Heston Primary School,Primary,235,220,2
The Quest Academy,Secondary,315,240,2
Wilmington Academy,Secondary,595,335,2
Richmond Park Academy,Secondary,360,290,2
St Winifred's Catholic Infant and Nursery School,Primary,100,100,1
St Winifred's Catholic Junior School,Primary,80,90,2
Eastbury Primary School,Primary,450,415,3
Eastcote Primary School,Primary,110,120,2
Lyon Park Junior School,Primary,265,215,2
Furness Primary School,Primary,280,255,2
Oakington Manor Primary School,Primary,380,375,1
Burnt Ash Primary School,Primary,230,195,2
Chelsfield Primary School,Primary,45,50,2
Darrick Wood Junior School,Primary,190,195,2
Pratts Bottom Primary School,Primary,35,45,2
The Highway Primary School,Primary,115,110,2
Good Shepherd Catholic Primary School,Primary,105,120,2
St Aidan's Catholic Primary School,Primary,85,110,2
St Chad's Catholic Primary School,Primary,205,235,2
Hazelbury Junior School,Primary,310,280,3
Southgate School,Secondary,810,700,1
Hartley Primary School,Primary,440,390,3
Selwyn Primary School,Primary,255,240,1
Westgate Primary School,Primary,100,105,3
Claremont Primary School,Primary,245,210,3
Portway Primary School,Primary,315,400,4
Mayville Primary School,Primary,230,225,2
Davidson Primary School,Primary,245,210,4
